date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:31	16433/16433	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2010:50:48%20GMT	https://www.clicktap.ae/assets/css/toolkit.css	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/css/toolkit.css	(from https://www.clicktap.ae/)
13:30:31	7737/7737	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Nov%202023%2012:14:17%20GMT	https://www.clicktap.ae/assets/js/form/validator.js	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/js/form/validator.js	(from https://www.clicktap.ae/)
13:30:31	3629/3629	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2003%20Jan%202025%2012:46:53%20GMT	https://www.clicktap.ae/assets/js/form/form.js	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/js/form/form.js	(from https://www.clicktap.ae/)
13:30:32	34563/34563	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20Jan%202024%2009:47:04%20GMT	https://www.clicktap.ae/assets/js/form/custom_select.js	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/js/form/custom_select.js	(from https://www.clicktap.ae/)
13:30:32	911/911	---MC-	200	added ('OK')	text/javascript	date:Sun,%2016%20Mar%202025%2020:30:28%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.google.com/recaptcha/api.js	(from https://www.clicktap.ae/)
13:30:32	201/201	---M--	200	added ('OK')	application/javascript	date:Wed,%2013%20Dec%202023%2009:15:19%20GMT	https://www.clicktap.ae/assets/js/body-gtm-tag.js	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/js/body-gtm-tag.js	(from https://www.clicktap.ae/)
13:30:32	2164/2164	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2010%20Mar%202023%2010:50:48%20GMT	https://www.clicktap.ae/assets/img/logo-icon.svg	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/img/logo-icon.svg	(from https://www.clicktap.ae/)
13:30:33	9482/9482	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2010%20Mar%202023%2010:50:49%20GMT	https://www.clicktap.ae/assets/img/logo-white.svg	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/img/logo-white.svg	(from https://www.clicktap.ae/)
13:30:33	8842/8842	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2010%20Mar%202023%2010:50:48%20GMT	https://www.clicktap.ae/assets/img/logo-white-sm.svg	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/img/logo-white-sm.svg	(from https://www.clicktap.ae/)
13:30:33	771/771	---M--	302	error ('Found')	text/html	date:Sun,%2016%20Mar%202025%2020:30:29%20GMT	https://www.clicktap.ae/about.html	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/about.html	(from https://www.clicktap.ae/)
